[03/12/2012 20:07:01] /t
[03/12/2012 20:07:21] /attr group 3
[03/12/2012 20:07:55] /attr group 3
[03/12/2012 20:08:05] /attr group 4
[03/12/2012 20:09:21] /i golden legs
[03/12/2012 20:09:34] /i magic plate legs '
[03/12/2012 20:09:36] /i magic plate legs 
[03/12/2012 20:09:45] /i magic plate armor
[03/12/2012 20:09:58] /i boots of haste
[03/12/2012 20:10:08] /i demon helmet
[03/12/2012 20:12:06] /attr group 5
[03/12/2012 22:08:31] /goto hydra
[03/12/2012 22:08:41] /a 1
[03/12/2012 22:08:45] /down
[03/12/2012 22:08:48] /a 1
[03/12/2012 22:08:57] /down
[03/12/2012 22:08:59] /a 1
[03/12/2012 22:09:10] /a 1
[03/12/2012 22:09:16] /a 1
[03/12/2012 22:09:17] /down
[03/12/2012 22:09:35] /up 
[03/12/2012 22:09:36] /up 
[03/12/2012 22:09:38] /a 1
[03/12/2012 22:09:39] /a 1
[03/12/2012 22:09:39] /a 1
[03/12/2012 22:09:40] /a 1
[03/12/2012 22:09:40] /a 1
[03/12/2012 22:09:40] /a 1
[03/12/2012 22:09:41] /a 1
[04/12/2012 22:29:25] /a 1
[04/12/2012 22:29:44] /a 2
[04/12/2012 22:29:46] /up
[04/12/2012 22:30:04] /a 1
[04/12/2012 22:30:08] /down
[04/12/2012 22:30:15] /a 1
[04/12/2012 22:30:16] /down
[04/12/2012 22:30:21] /a 1
[04/12/2012 22:30:28] /a 1
[04/12/2012 22:30:33] /a 1
[04/12/2012 22:30:34] /a 1
[04/12/2012 22:30:34] /a 1
[04/12/2012 22:30:34] /a 1
[04/12/2012 22:30:34] /a 1
[04/12/2012 22:30:34] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:30:35] /a 1
[04/12/2012 22:38:59] /a 1
[04/12/2012 22:38:59] /a 1
[04/12/2012 22:38:59] /a 1
[04/12/2012 22:38:59] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:00] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:01] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
[04/12/2012 22:39:02] /a 1
