[06/12/2012 22:15:00] /bat
[06/12/2012 22:15:02] /ghost
[06/12/2012 22:15:30] /c gran tower
[06/12/2012 22:16:12] /addskill [GOD] Yin, lvel 1
[06/12/2012 22:16:21] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:22] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:23] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:24] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:25] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:25] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:25] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:25] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:29] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:31] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:31] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:31] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:31] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:34] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:34] /addskill [GOD] Yin, level 1
[06/12/2012 22:16:46] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:46] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:46] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:47] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:48] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:48] /addskill [GOD] Yin, magic level 1
[06/12/2012 22:16:48] /addskill [GOD] Yin, magic level 1
